id,category,item,spec,unit,cost,href,qtyPerUnit
phone-MotorolaMotoGPlay,phone,Motorola Moto G Play 2021,placeholder,device,79.99,https://www.amazon.com/Unlocked-Motorola-Moto-Play-PAL60003US/dp/B08TMTBK6G,1
phone-TecnoPop20,phone,Tecno Pop 20,placeholder,device,80,#,0
phone-SamsungA32,phone,Samsung A32,placeholder,device,98.89,https://www.amazon.com/SAMSUNG-A32-Unlocked-Android-Smartphone/dp/B0967RGC2H,0
hw-lens,hardware,Lens Kit,placeholder,device,5.99,https://www.amazon.com/dp/B08PBH52Q8,1
hw-solderless,hardware,USB-C Solderless Adapter,placeholder,pack of 5 ,8.77,https://www.amazon.com/dp/B0GGRGB85W,0.2
hw-splitter,hardware,USB-C Splitter,placeholder,pack of 2,13.99,https://www.amazon.com/dp/B0G94NXB92,0.5
hw-180,hardware,USB-C 180 Degree Adapter,placeholder,pack of 2,7.99,https://www.amazon.com/dp/B0BXCTRN7F,0.5
hw-connector,hardware,"LED Strip Connector, 8mm",placeholder,pack of 20,8.99,https://www.amazon.com/dp/B0BXS2QQXZ,0.1
hw-led,hardware,LED Strip,placeholder,2 120LED spools,11.99,https://www.amazon.com/dp/B08M65DKZ7,0.016666666666666666
hw-red,hardware,22 AWG PVC Wire (Red),placeholder,1000ft spool,59.99,https://www.amazon.com/dp/B00DP28SFY,0.002099737532808399
hw-black,hardware,22 AWG PVC Wire (Black),placeholder,1000ft spool,59.99,https://www.amazon.com/dp/B00DP2H8UA,0.002099737532808399
fil-petg,filament,PETG (White),placeholder,1kg spool,15.99,https://www.amazon.com/dp/B0CMC78XKT,0.18
lab-eppendorfs,lab,Eppendorf Tubes,placeholder,pack of 100,9.99,https://www.amazon.com/dp/B0BBV68SZT,0
